#code#####  #name                        #start      #base    #number
#                                                             
#           #基指                                             
0000001     #上证指数                    1990-12-19  100      2243
1399001     #深指                                             
1399006     #创指                                             
#                                                             
#           #规模指数                                         
0000001     #上证指数                    1990-12-19  100      2243
0000002     #Ａ股指数                    1990-12-19  100      2201
0000003     #Ｂ股指数                    1992-02-21  100      41
0000009     #上证380                     2003-12-31  1000     380
0000010     #上证180                     2002-06-28  3299.06  180
0000016     #上证50                      2003-12-31  1000     50
0000017     #新综指                      2005-12-30  1000     2201
0000020     #中型综指                    2007-12-28  1000     862
0000043     #超大盘                      2003-12-31  1000     20
0000044     #上证中盘                    2003-12-31  1000     130
0000045     #上证小盘                    2003-12-31  1000     320
0000046     #上证中小                    2003-12-31  1000     450
0000047     #上证全指                    2003-12-31  1000     500
0000090     #上证流通                    2009-12-31  1000     2201
0000132     #上证100                     2003-12-31  1000     100
0000133     #上证150                     2003-12-31  1000     150
0000155     #市值百强                    2003-12-31  1000     100
0000680     #科创综指                    2019-12-31  1000     578
0000681     #科创价格                    2019-12-31  1000     578
0000688     #科创50                      2019-12-31  1000     50
0000698     #科创100                     2019-12-31  1000     100
0000699     #科创200                     2022-12-30  1000     200
0950580     #上证580                     2018-12-28  1000     580
#                                                             
#           #行业指数                                         
0000004     #工业指数                    1993-04-30  1358.78  1683
0000005     #商业指数                    1993-04-30  1358.78  170
0000006     #地产指数                    1993-04-30  1358.78  24
0000007     #公用指数                    1993-04-30  1358.78  139
0000008     #综合指数                    1993-04-30  1358.78  227
0000018     #180金融                     2002-06-28  1000     43
0000032     #上证能源                    2003-12-31  1000     30
0000033     #上证材料                    2003-12-31  1000     50
0000034     #上证工业                    2003-12-31  1000     50
0000035     #上证可选                    2003-12-31  1000     50
0000036     #上证消费                    2003-12-31  1000     30
0000037     #上证医药                    2003-12-31  1000     49
0000038     #上证金融                    2003-12-31  1000     30
0000039     #上证信息                    2003-12-31  1000     50
0000040     #上证通信                    2003-12-31  1000     33
0000041     #上证公用                    2003-12-31  1000     30
0000104     #380能源                     2003-12-31  1000     17
0000105     #380材料                     2003-12-31  1000     48
0000106     #380工业                     2003-12-31  1000     100
0000107     #380可选                     2003-12-31  1000     31
0000108     #380消费                     2003-12-31  1000     18
0000109     #380医药                     2003-12-31  1000     40
0000110     #380金融                     2003-12-31  1000     22
0000111     #380信息                     2003-12-31  1000     50
0000112     #380通信                     2003-12-31  1000     22
0000113     #380公用                     2003-12-31  1000     18
0950105     #上证证券                    2012-12-31  1000     33
0950215     #180金融行业                 2007-12-28  1000     43
0950216     #380地产                     2007-12-28  1000     14
0950217     #上证地产                    2007-12-28  1000     29
0950218     #房地产等权                  2007-12-28  1000     29
0950219     #沪地产红                    2007-12-28  1000     9
#                                                             
#           #风格指数                                         
0000028     #180成长                     2002-06-28  1000     60
0000029     #180价值                     2002-06-28  1000     60
0000030     #180R成长                    2002-06-28  1000     133
0000031     #180R价值                    2002-06-28  1000     133
0000057     #全指成长                    2003-12-31  1000     150
0000058     #全指价值                    2003-12-31  1000     150
0000059     #全R成长                     2003-12-31  1000     380
0000060     #全R价值                     2003-12-31  1000     380
0000117     #380成长                     2003-12-31  1000     120
0000118     #380价值                     2003-12-31  1000     120
0000119     #380R成长                    2003-12-31  1000     287
0000120     #380R价值                    2003-12-31  1000     287
#                                                             
#           #主题指数                                         
0000015     #红利指数                    2004-12-31  1000     50
0000019     #治理指数                    2007-06-29  1000     300
0000021     #180治理                     2007-06-29  1000     100
0000025     #180基建                     2002-06-28  1000     32
0000026     #180资源                     2002-06-28  1000     17
0000027     #180运输                     2002-06-28  1000     12
0000042     #上证央企                    2008-12-31  1000     50
0000048     #责任指数                    2009-06-30  1000     100
0000049     #上证民企                    2009-06-30  1000     50
0000054     #上证海外                    2006-12-29  1000     68
0000055     #上证地企                    2009-06-30  1000     50
0000056     #上证国企                    2009-06-30  1000     100
0000062     #上证沪企                    2005-12-31  1000     50
0000063     #上证周期                    2003-12-31  1000     50
0000064     #非周期                      2003-12-31  1000     100
0000065     #上证龙头                    2003-12-31  1000     93
0000066     #上证商品                    2003-12-31  1000     50
0000067     #上证新兴                    2003-12-31  1000     50
0000068     #上证资源                    2003-12-31  1000     47
0000069     #消费80                      2003-12-31  1000     79
0000092     #资源50                      2003-12-31  1000     50
0000094     #上证上游                    2003-12-31  1000     46
0000095     #上证中游                    2003-12-31  1000     205
0000096     #上证下游                    2003-12-31  1000     141
