########  2026/01/15    市盈动    总市值
601398    #工商银行     7.61      2.737万亿
601288    #农业银行     8.71      2.565万亿
601939    #建设银行     6.88      2.362万亿
600941    #中国移动     13.66     2.102万亿
601857    #中国石油     10.84     1.825万亿
601988    #中国银行     7.39      1.750万亿
600519    #贵州茅台     20.18     1.739万亿
300750    #宁德时代     24.69     1.614万亿
600938    #中国海油     10.50     1.428万亿
601628    #中国人寿     6.17      1.380万亿
601318    #中国平安     6.89      1.221万亿
601138    #工业富联     40.26     1.207万亿
601899    #紫金矿业     20.15     1.017万亿
600036    #招商银行     6.67      1.012万亿
688981    #中芯国际     195.57    9956亿
002594    #比亚迪       28.04     8722亿
601088    #中国神华     15.86     8257亿
600028    #中国石化     18.00     7195亿
300308    #中际旭创     73.03     6945亿
600900    #长江电力     19.21     6562亿
601658    #邮储银行     6.09      6221亿
601328    #交通银行     6.56      6124亿
688256    #寒武纪-U     278.89    5967亿
000333    #美的集团     11.62     5868亿
688041    #海光信息     222.19    5811亿
601728    #中国电信     13.60     5582亿
603993    #洛阳钼业     27.02     5145亿
688235    #百济神州-U   311.56    4730亿
601601    #中国太保     7.09      4321亿
601166    #兴业银行     5.11      4300亿
601998    #中信银行     6.01      4246亿
601319    #中国人保     6.73      4201亿
600276    #恒瑞医药     54.68     4193亿
600030    #中信证券     13.95     4191亿
002475    #立讯精密     27.22     4180亿
000858    #五粮液       14.36     4118亿
300502    #新易盛       47.13     3976亿
002379    #宏创控股     -1692.96  3831亿
300059    #东方财富     31.35     3802亿
600000    #浦发银行     7.43      3717亿
002371    #北方华创     53.67     3671亿
601211    #国泰海通     12.20     3591亿
300274    #阳光电源     21.65     3430亿
603259    #药明康德     19.19     3090亿
688795    #摩尔线程-U   -309.75   2988亿
002415    #海康威视     23.08     2868亿
600150    #中国船舶     34.72     2709亿
002714    #牧原股份     13.39     2639亿
600930    #华电新能     25.58     2628亿
601336    #新华保险     5.94      2600亿
600309    #万华化学     20.37     2487亿
601816    #京沪高铁     18.02     2476亿
300760    #迈瑞医疗     24.51     2474亿
300476    #胜宏科技     56.95     2464亿
600690    #海尔智家     10.45     2421亿
688802    #沐曦股份-U   -518.79   2390亿
601600    #中国铝业     16.26     2357亿
688012    #中微公司     143.85    2323亿
002050    #三花智控     53.14     2297亿
688347    #华虹公司     679.44    2276亿
601919    #中远海控     6.25      2257亿
000651    #格力电器     7.85      2247亿
302132    #中航成飞     76.77     2220亿
603288    #海天味业     31.00     2200亿
000001    #平安银行     4.29      2195亿
300124    #汇川技术     38.58     2189亿
